block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
309,ANG MO KIO AVE 1,207 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560207,560207,1.36582089504381,103.842847772078,0,10,4,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",9134.378660641145
216,ANG MO KIO AVE 1,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,560216,1.36619678831054,103.841505011903,0,10,3,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School",9192.71478969994
211,ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,560211,1.369196965617,103.841666636086,0,11,4,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",9521.908685765602
202,ANG MO KIO AVE 3,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,560202,1.36844644010937,103.844516260527,0,11,4,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",9407.743380401133
235,ANG MO KIO AVE 3,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,560235,1.36682360872342,103.83649123351,0,8,3,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School",9344.886132964471
232,ANG MO KIO AVE 3,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,560232,1.36834606813391,103.837196046409,0,8,3,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School",9498.127776151083
308,ANG MO KIO AVE 1,308C ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 563308,563308,1.36569665029696,103.844347269095,0,10,4,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",9104.656981533446
220,ANG MO KIO AVE 1,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,560220,1.36558833593063,103.840518883254,0,8,3,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School",9139.491343908303
219,ANG MO KIO AVE 1,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,560219,1.36598198004505,103.840654039612,0,9,3,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School",9180.897851648424
247,ANG MO KIO AVE 3,327 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560327,560327,1.36705284380639,103.846987446489,1,11,4,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",9234.465146260016
320,ANG MO KIO AVE 1,320 ANG MO KIO AVENUE 1 STAR LEARNERS @ ANG MO KIO PTE. LTD. SINGAPORE 560320,560320,1.36559244608528,103.848386744168,1,12,5,"Ai Tong School, Catholic High School (Primary), CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School, Kuo Chuan Presbyterian Primary School",9065.12701185356
252,ANG MO KIO AVE 4,641 ANG MO KIO AVENUE 4 ANG MO KIO 61 SINGAPORE 560641,560641,1.37858940772641,103.840329743826,0,7,2,"CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",10576.480265210312
