Name,Type,GenderMix,Area,Zone,PostalCode,Latitude,Longitude,top25sch
Admiralty Primary School,Government,Mixed,Woodlands,North,738907,1.4427,103.7995,0
Ahmad Ibrahim Primary School,Government,Mixed,Yishun,North,768643,1.4333,103.8321,0
Ai Tong School,"Government-aided, SAP",Mixed,Bishan,South,579646,1.3603,103.8321,1
Alexandra Primary School,Government,Mixed,Bukit Merah,South,159016,1.2913,103.8233,0
Anchor Green Primary School,Government,Mixed,Sengkang,North,544969,1.3913,103.8863,0
Anderson Primary School,Government,Mixed,Ang Mo Kio,North,569785,1.3838,103.8414,0
Anglo-Chinese School (Junior),Government-aided,Boys,Central,South,227988,1.3098,103.8409,1
Anglo-Chinese School (Primary),Government-aided,Boys,Novena,South,309918,1.3182,103.8357,1
Angsana Primary School,Government,Mixed,Tampines,East,529366,1.3482,103.9512,0
Ang Mo Kio Primary School,Government,Mixed,Ang Mo Kio,South,569920,1.3697,103.8395,0
Balestier Hill Primary School,Government,Mixed,Novena,South,329927,1.3265,103.8445,0
Beacon Primary School,Government,Mixed,Bukit Panjang,West,679944,1.3843,103.7731,0
Bedok Green Primary School,Government,Mixed,Bedok,East,469317,1.3241,103.9372,0
Bendemeer Primary School,Government,Mixed,Kallang,South,339948,1.3215,103.8657,0
Blangah Rise Primary School,Government,Mixed,Bukit Merah,South,109100,1.2762,103.8092,0
Boon Lay Garden Primary School,Government,Mixed,Jurong West,West,649930,1.3433,103.7135,0
Bukit Panjang Primary School,Government,Mixed,Bukit Panjang,West,679676,1.3739,103.7693,0
Bukit Timah Primary School,Government,Mixed,Bukit Timah,West,598112,1.3371,103.7668,0
Bukit View Primary School,Government,Mixed,Bukit Batok,West,659634,1.3464,103.7538,0
Canberra Primary School,Government,Mixed,Sembawang,North,757714,1.4514,103.8148,0
Canossa Convent Primary School,Government-aided,Girls,Geylang,East,387621,1.3261,103.8828,0
Cantonment Primary School,Government,Mixed,Bukit Merah,South,88256,1.2751,103.8403,0
Casuarina Primary School,Government,Mixed,Pasir Ris,East,518935,1.3722,103.9574,0
Catholic High School (Primary),"Government-aided, SAP",Boys,Bishan,South,579767,1.3556,103.8451,1
Cedar Primary School,Government,Mixed,Toa Payoh,South,349700,1.335,103.8755,0
Changkat Primary School,Government,Mixed,Tampines,East,529896,1.3406,103.9517,0
CHIJ (Katong) Primary,Government-aided,Girls,Bedok,East,424821,1.3069,103.9108,0
CHIJ (Kellock),Government-aided,Girls,Bukit Merah,South,149059,1.3011,103.8009,0
CHIJ Our Lady of Good Counsel,Government-aided,Girls,Serangoon,South,558979,1.3578,103.8634,0
CHIJ Our Lady of the Nativity,Government-aided,Girls,Hougang,South,534793,1.3728,103.8982,0
CHIJ Our Lady Queen of Peace,Government-aided,Girls,Bukit Panjang,West,679287,1.367,103.7675,0
CHIJ Primary (Toa Payoh),Government-aided,Girls,Toa Payoh,South,319765,1.3334,103.8433,1
CHIJ St. Nicholas Girls' School,"Government-aided, SAP",Girls,Ang Mo Kio,South,569405,1.3752,103.8344,1
Chongfu School,Government-aided,Mixed,Yishun,North,768959,1.4387,103.8401,1
Chongzheng Primary School,Government,Mixed,Tampines,East,529392,1.351,103.9517,0
Chua Chu Kang Primary School,Government,Mixed,Chua Chu Kang,West,689905,1.3773,103.7418,0
Clementi Primary School,Government,Mixed,Clementi,West,129903,1.3163,103.7635,0
Compassvale Primary School,Government,Mixed,Sengkang,North,545091,1.3951,103.8981,0
Concord Primary School,Government,Mixed,Chua Chu Kang,West,689814,1.3806,103.7366,0
Coral Primary School,Government,Mixed,Pasir Ris,East,518902,1.3678,103.9507,0
Corporation Primary School,Government,Mixed,Jurong West,West,648347,1.3507,103.7076,0
Da Qiao Primary School,Government,Mixed,Ang Mo Kio,South,569185,1.3718,103.8584,0
Damai Primary School,Government,Mixed,Bedok,East,479225,1.3361,103.9202,0
Dazhong Primary School,Government,Mixed,Bukit Batok,West,659441,1.3589,103.749,0
